ID,SurveyGroup,IntakeDate,ProgramParticipation,City,County,IntakeBusinessStatus,BusinessStartDate,BusinessDescription,LoanClient,Experience,ChangeExperience,MatchedNeeds,PleaseExplain2,ServicesIdeas,SupportIdeas,DEI1,DEI2,DEI3,DEI4,DEI5,DEI6,DEIDescriptionRate,OwnBusiness,HaveYouEverBeenInBusiness,StillOwn,WhyNoBusiness,NotStartDescision,PleaseExplain3,StartDecision,PleaseExplain,StartBusiness,ProductService,MonthAndYear,BusinessStartReason,MonthAndYearStop,BusinessStopReason,BusinessRestart,PivotAbility,PivotWEV,Elaborate1,ExpandBusiness,ProgramIdeas,FullTimePartTime,BizSalesIntake,GrossSales,SalesUnknownOrRefused,ProfitLoss,ProfitLossAtIntake,NetProfit,ProfitLossUnknownOrRefused,OwnersDrawAtIntake,BizIncomeUse,DrawUnknownOrRefused,DrawPrimaryIncome,JobsAtIntakebesidesOwner,FTEAmount,FTEmployeesUnknownOrRefused,PTEAmount,PTEmployeesUnknownOrRefused,FundingProgram1,FundingProgram2,FundingProgram3,FundingProgram4,FundingProgram5,FundingProgram6,FundingProgram7,FundingProgram8,FundingProgram9,Elaborate2,FundingSource1,FundingSource2,FundingSource3,Employment1,Employment2,Employment3,Employment4,Elaborate3,Household1,Household2,Household3,Household4,Household5,Household6,Household7,FinancialHealth1,FinancialHealth2,FinancialHealth3,WEVGotNews,Content,WEVGotNews2,Entrepreneur1,Entrepreneur2,Entrepreneur3,Entrepreneur4,Entrepreneur5,WrapUp,SurveyDate
5635623,1-Year,2/2/2018,"Funding, Grant, Training, Advisory",Ojai,Ventura,Ongoing (In business more than one year with sales),1/1/2013,Digital marketing and video production,Yes,"It's been good. This year she's only done THRIVE, and that's been the main thing with WEV. Has been connected with WEV for a while through SET and other stuff.",Doesn't know if she's taking advantage of everything she could; not much community aspect in WEV.,Yes,,More networking.,A Combination,Agree,4.0,Neutral,3.0,Agree,4.0,"Feel like in a way, she's not a typical WEV client. Not somebody WEV needs to reach. Middle target. One thing she remembers from class is credits, and she just thinks credit is a huge aspect to small business, and she built her business based on her personal credit. Makes her think about her privilege.",Yes,,Yes,,,,,,,"One that's changed: real estate marketing - Market Media - in Ventura and SB Counties - merged with another business
Another business that she's building that's similar and under same legal structure - Video and Photo Marketing and Family Portraits",01/2013,Lack of advancement opportunities in my job/career,,,,Yes,Yes,Got advice on SBA loan and were able to keep up. Got a lot of SBA advice and loans and payroll protection.,"Hired employees, Added a new product/service, Widened customer base","""Digital Marketing (online presence, Search Engine Optimization))"", ""Traditional Marketing (print, radio, television)"", HR, Funding & Grants Info",Full time,"120,000.00","500,000.00",No,N/A - Broke Even,,,No,"71,316.00","60,000.00",No,,0,4,No,2,No,,,0.00,,0.00,,0.00,,0.00,,None,,,No,,Unemployed and NOT seeking employment,,,3,3,No,"71,316.00","130,000.00",No,,"Paid off personal loans/credit card debt, Improved credit score, Met with a financial coach",0.00,No,I receive the newsletter and always read it,Networking opportunities,,No,,,,,,8/26/2022
8222397,1-Year,2/19/2020,"Training, Advisory",Santa Barbara,Santa Barbara,Pre-business (No business or idea only),,,No,"Started his program midway through and it hit the pandemic, so an interesting hybrid. Felt like it was a combination of things and having to adapt to online. Overall thought it was a powerful and comprehensive overview of writing a business plan and what you needed to consider before diving into a business. A lot of dense parts, but he references his notes.","Difficult to shift online, but it wasn't WEV's fault.",Yes,,,A Combination,Strongly Agree,5.0,Neutral,3.0,Agree,4.0,"Neutral because in order to create an environment with trust and understanding, you need more time. Hard to do that in a short period of time.",Yes,,Yes,,,,,,,"Environment justice consulting business, landscape to structuring of orgs to environmental awareness.",05/2020,Lack of advancement opportunities in my job/career,,,,Yes,No,Started during pandemic.,"Widened customer base, New partners and locations",None,Part time,,,Yes,Profit,,,No,,,Yes,I don't wish to disclose,,0,No,0,No,No,,0.00,,0.00,,0.00,,0.00,,None,,,Yes,Part-time,Employed,,,1,1,No,"43,974.76",,Yes,The same,"Paid off personal loans/credit card debt, Created a personal budget, Improved credit score",,Yes,I don't know,,Yes,No,,,,,,8/25/2022
1686736,5-Year,9/10/2013,"Training, Advisory",Ventura,Ventura,Pre-business (No business or idea only),,Group Travel,No,"It's been a while, took an accelerated class. Got the basic info she needed to start her business, and after that no longer used WEV. Learned about what she needed to do for business license, etc.",Not offer the accelerated class anymore; too hard to focus.,Yes,,"After the class, there was supposed to be a follow up, but that fell apart. It would've been nice if people stayed together.",Not interested in future services,Disagree,2.0,Disagree,2.0,Agree,4.0,Didn't really felt like she belonged bc she had a unique business.,No,Yes,No,,,,Yes,Travel agency. Shut down because of pandemic.,,,,Ventura was shutting down travel program,03/2020,COVID-19 pandemic,I don't know,,,,,,,,,No,,,,No,0.00,,No,,0,,No,,No,,,0.00,,0.00,,0.00,,0.00,,,,,No,,Unemployed and NOT seeking employment,,,1,1,No,"73,000.00","75,000.00",No,,"Created a personal budget, Improved credit score",0.00,No,I don't know,,No,No,,,,,,8/25/2022
1685887,5-Year,9/2/2013,"Training, Advisory",Ventura,Ventura,Ongoing (In business more than one year with sales),5/1/2003,Event Coordinating and Bartending.,No,"Thought it was great; lots of helpful information. Don't think she would've formed her business the way she did without WEV. Made great networking contacts. Have a degree in business, but learned more in the hands on process at WEV.",No.,Yes,,"When she started WEV, there was a mixer at Carlisle Salon, and it was for other people who had started a business using WEV. Would love to support small businesses at WEV and know about them.",Online,Agree,4.0,Agree,4.0,Strongly Agree,5.0,Her background didn't really come in play during class.,Yes,,Yes,,,,,,,Changed over time; a boutique with handmade crafts. New business.,04/2021,Hobby,,,,It wasn't necessary,,,Added a new product/service,"""Digital Marketing (online presence, Search Engine Optimization))""",Seasonal / sporadic,500.00,,Yes,Profit,,,No,400.00,,No,,0,0,No,0,No,No,,0.00,,0.00,,0.00,,0.00,,None,,,Yes,Full-time,Employed,,,1,1,No,"40,950.00","113,000.00",No,,Created a personal budget,"20,000.00",No,I don't receive the newsletter,,Yes,No,,,,,,8/25/2022
8489467,1-Year,9/14/2020,"Training, Advisory",Santa Barbara,Santa Barbara,Ongoing (In business more than one year with sales),1/1/2003,"I’m a licensed marriage and family therapist, divorce coach and mediator., Wellness Retreats, Group Vacations, Corporate & Educational Trips & Volunteer Opportunities in Costa Rica",No,Only used WEV a couple times: When did PPP application and they connected her to Montecito bank and trust. Great. Second time was a Quickbooks clas,Didn't love her QuickBooks class. Teacher was hard to learn from. Wasn't super helpful and found it chaotic.,Yes,,Want to know more about WEV.,A Combination,Neutral,3.0,Neutral,3.0,Strongly Agree,5.0,First two neutral - doesn't belong to her,Yes,,Yes,,,,,,,"2 Business 
1. Marriage and family therapist in family practice - Stacy McCrory - 01/2005
2. Business holding retreats in costa rice - TwoCan Retreats - 01/2018",01/2005,Went to school for it,,,,Yes,No,WEV didn't help too much.,"Added a new product/service, Widened customer base","""Digital Marketing (online presence, Search Engine Optimization))"", Personal finance, Business accounting, HR",Full time,"19,998.00","60,000.00",No,Profit,"19,998.00",,Yes,"19,998.00","40,000.00",No,,1,0,No,0,No,No,,0.00,,0.00,,0.00,,0.00,,None,,,No,,Unemployed and NOT seeking employment,,,4,4,No,"53,032.00","200,000.00",No,,None,"20,000.00",No,I don't know,,Yes,No,,,,,,8/25/2022
6278248,1-Year,2/19/2020,"Training, Advisory",Santa Maria,Santa Barbara,Pre-business (No business or idea only),,,No,It was great and fantastic.,,Yes,,"Would want more information about WEV's loans. When she went to WEV, she wanted to do something different.  
Her husband and her wanted a Mexican ice-cream shop, but with covid they went a different route; opened a mobile food truck in October 2021. At end of class, they were doing a project. Didn't ask WEV for a loan when they opened a business, so would like more information about that. Would like to expand business and get commercial grants.",A Combination,Agree,4.0,Agree,4.0,Agree,4.0,No.,No,Yes,Yes,,,,,,,Have a food trailer; usually have events and are part of Santa Maria downtown Friday and SLO downtown. Hours are evening from around 5 to 9:30 p.m. Saturdays and Sundays they park outside of a coffee shops. Do parties in generals.,01/2022,Flexibility,,,,It wasn't necessary,,,,"Personal finance, Business accounting",,,,No,,,,No,,,No,,,,No,,No,No,,0.00,,0.00,,0.00,,0.00,,,,,No,,Unemployed and NOT seeking employment,,,3,5,No,"51,306.08","50,000.00",No,,"Paid off personal loans/credit card debt, Created a personal budget, Improved credit score","5,000.00",No,I receive the newsletter but rarely read it,,,No,,,,,,8/24/2022
8340826,1-Year,4/15/2020,"Funding, Advisory",Santa Barbara,Santa Barbara,Ongoing (In business more than one year with sales),4/1/1987,Licensed family childcare,Yes,WEV helped her in 2 ways: training (week long class) and worked with childcare community to do a series of workshops. Helped her navigate finding some grants.,No.,Yes,,Biggest help would be workshops on identifying grants and grant writing.,A Combination,Strongly Agree,5.0,Agree,4.0,Agree,4.0,"Business model that is designed to meet the needs of women, which is an underrepresented segment in business. Started this business in 1987, which women mostly managed in the operating of small businesses. For her, she is in a career that is dominated by women.",Yes,,Yes,,,,,,,Licensed large family childcare in a residential neighborhood.,04/1987,Create a preschool environment like the one she attended,,,,Yes,No,Didn't seek WEV's help too much.,"Hired employees, Added a new product/service, Widened customer base",None,Full time,"88,000.00","180,000.00",No,Profit,"88,000.00","22,000.00",No,"28,000.00","80,000.00",No,,3,4,No,4,No,,,0.00,,0.00,,0.00,,0.00,,3-4 grants,3-4 grants,"Some sources of funding: US Dept of Agriculture, State Licensing, and Federal Grant 
$12,000 - federal grant
$35,000 - stipend run from state",No,,Unemployed and NOT seeking employment,,,3,2,No,"42,000.00","125,000.00",No,,"Paid off personal loans/credit card debt, Improved credit score",0.00,No,I receive the newsletter and always read it,Calendar that shows what is coming up in the month that might be interest to people.,,No,,,,,,8/23/2022
8427203,1-Year,7/8/2020,"Funding, Advisory",Ojai,Ventura,Ongoing (In business more than one year with sales),1/1/1997,"Producer of olive oils & related products, plus tours & tasting business",Yes,"Great experience. Knew about this org long before she knew about getting a loan because her friend took her to a meeting. Very impressed by this. She's French and there's more equality in Europe than America, so she's always happy to see this. Think WEV is terrific and that all that WEV does is great. Would participate if she was younger and not as busy. Always extremely pleased. When Stephanie came to visit the grove she liked that. Doesn't make a lot making a lot of olive oil. This year they did a great job, so they're going to have a very good yield. New York Olive Oil competition, and her son placed first two times. Her son Philip is the miller.",,Yes,,Budgeting help for other companies.,A Combination,Strongly Agree,5.0,Strongly Agree,5.0,Strongly Agree,5.0,"No.
Only don't feel the ""sense of belonging"" as much just because of her part, because she doesn't go to as much meetings.",Yes,Yes,No,,,,No,,,"Farm in east end of Ojai, and her grove is in a canyon there. Olive oil products (European olives - French, Italian, etc.) The grove consists of about 3000 olive trees + barn to process olives. Keep olive oil in big bins and bottle all year long when needed. Have olive oil tasting, 7 days a week between 10-4. Also have balsamic vinegars. Also have cosmetic products made by herbalists. Sell small olive trees sometimes.",01/1997,Husband had a passion for farming,,Her son took over,No,Yes,Yes,Having the loan kept them afloat; first response that comes to mind. She wrote down the question to answer back later.,"Hired employees, Added a new product/service, Widened customer base",None,Seasonal / sporadic,"70,000.00",,Yes,I don't know,0.00,,Yes,0.00,0.00,No,,8,,Yes,,Yes,,,0.00,,0.00,,0.00,,0.00,,,,,No,,Unemployed and NOT seeking employment,,,1,1,No,"23,200.00","36,000.00",No,,"Paid off personal loans/credit card debt, Created a personal budget",0.00,No,I don't receive the newsletter,,Yes,No,,,,,,8/19/2022
8313315,1-Year,3/26/2020,"Funding, Advisory",Carpinteria,Santa Barbara,Ongoing (In business more than one year with sales),4/25/2018,Restaurant,Yes,"2.5 years ago.
COVID had just started, and they were looking for some relief on their payroll.
Turned to WEV and got a small breakthrough loan and motivated them to keep trying when they were in the dark.",,Yes,,"At this point, no.",Online,Agree,4.0,Agree,4.0,Agree,4.0,Little difficult to answer because she only got a loan. A moment in time that she turned to WEV.,Yes,,Yes,,,,,,,Restaurant and bakery.,04/2018,"Wanted to work for myself, not others",,,,I don't know,,,"Hired employees, Opened a physical location, Added a new product/service, Widened customer base","""Labor help, hospitality training""",Full time,"452,435.00","1,500,000.00",No,Profit,"11,383.00",,Yes,0.00,,Yes,Yes,25,,Yes,,Yes,,,0.00,,0.00,,0.00,,0.00,,"SBA EIDL (Disaster loan), SBA PPP loan","SBA EIDL (Disaster loan), SBA PPP loan","A lot
$500,000 - Alison's Bakery",No,,Unemployed and NOT seeking employment,,,1,2,No,,,Yes,The same,Paid off personal loans/credit card debt,,Yes,I don't receive the newsletter,,Yes,No,,,,,,8/19/2022
8331113,1-Year,4/2/2020,"Funding, Advisory",Santa Barbara,Santa Barbara,Ongoing (In business more than one year with sales),1/1/2010,portrait photography,Yes,"Tbh, really her only experience was getting the loan during covid when nobody knew what the government grant was. Only experience, and it was easy and helpful and helped her feel better in an unpredictable time.",,Yes,,,A Combination,Strongly Agree,5.0,Neutral,3.0,Strongly Agree,5.0,"Haven't got much experience, hence neutral.",Yes,,Yes,,,,,,,"Portrait studio, specializes in brick and mortar, photography
Downtown studio
Also teaches photography lessons online",07/2013,"Wanted to work for myself, not others",,,,Yes,Yes,Played a role in her feeling like she would be able to pay rent and work things out.,Widened customer base,"Personal finance, Business accounting, In person networking opportunities",Full time,"81,000.00","106,000.00",No,Profit,"3,000.00","50,000.00",No,"12,000.00","35,000.00",No,,0,0,No,0,No,,,0.00,,0.00,,0.00,,0.00,,SBA PPP loan,SBA PPP loan,"Forgiven 
About $14,000",No,,Unemployed and NOT seeking employment,,,3,3,No,"82,000.00","130,000.00",No,,Created a personal budget,"5,000.00",No,I receive the newsletter and always read it,,,No,,,,,,8/19/2022
